UID,accession,collection_date,isolation_source,isolation_taxa,city,county,state,latitude,longitude,pseudo_lat,pseudo_lat,data_source
,HM488114,10/1/02,mosquito,Aedes cinereus,Stratford,,Conneticut,,,,,PMID21723580
,HM488115,8/22/05,mosquito,Culex salinarius,Stratford,,Conneticut,,,,,PMID21723580
,HM488116,8/22/05,mosquito,Culex pipiens male,Stratford,,Conneticut,,,,,PMID21723580
,HM488117,8/22/05,mosquito,Ochlerotatus triseriatus,Stratford,,Conneticut,,,,,PMID21723580
,HM488118,8/29/05,mosquito,Culex pipiens male,Stratford,,Conneticut,,,,,PMID21723580
,HM488119,9/6/05,mosquito,Culex pipiens male,Stratford,,Conneticut,,,,,PMID21723580
,HM488120,9/6/05,mosquito,Culex pipiens male,Stratford,,Conneticut,,,,,PMID21723580
,HM488121,9/25/05,mosquito,Culex pipiens,Stratford,,Conneticut,,,,,PMID21723580
,HM488125,9/29/99,bird,Corvus brachyrhynchos,Stratford,,Conneticut,,,,,PMID21723580
,HM488126,9/15/99,bird,Corvus brachyrhynchos,Stratford,,Conneticut,,,,,PMID21723580
,HM488127,9/24/99,bird,Corvus brachyrhynchos,Stratford,,Conneticut,,,,,PMID21723580
,HM488128,9/27/99,bird,Corvus brachyrhynchos,Stratford,,Conneticut,,,,,PMID21723580
,HM488129,9/21/00,mosquito,Culex salinarius,Milford,,Conneticut,,,,,PMID21723580
,HM488130,9/18/00,mosquito,Culex salinarius,Milford,,Conneticut,,,,,PMID21723580
,HM488131,9/21/00,mosquito,Culex pipiens,Milford,,Conneticut,,,,,PMID21723580
,HM488132,9/20/00,mosquito,Culiseta melanura,Shelton,,Conneticut,,,,,PMID21723580
,HM488133,7/16/01,mosquito,Culex pipiens,Stratford,,Conneticut,,,,,PMID21723580
,HM488134,9/6/01,mosquito,Ochlerotatus sollicitans,Stratford,,Conneticut,,,,,PMID21723580
,HM488135,9/6/01,mosquito,Ochlerotatus cantator,Stratford,,Conneticut,,,,,PMID21723580
,HM488136,9/7/01,mosquito,Culex restuans,Stratford,,Conneticut,,,,,PMID21723580
,HM488137,8/20/01,mosquito,Culex pipiens,Stratford,,Conneticut,,,,,PMID21723580
,HM488138,8/18/03,mosquito,Culex restuans,Stratford,,Conneticut,,,,,PMID21723580
,HM488139,10/7/03,mosquito,Culex salinarius,Stratford,,Conneticut,,,,,PMID21723580
,HM488140,8/12/03,mosquito,Aedes vexans,Stratford,,Conneticut,,,,,PMID21723580
,HM488141,9/16/03,mosquito,Culex pipiens,Stratford,,Conneticut,,,,,PMID21723580
,HM488142,7/12/04,mosquito,Ochlerotatus triseriatus,Stratford,,Conneticut,,,,,PMID21723580
,HM488143,8/9/04,mosquito,Aedes cinereus,Stratford,,Conneticut,,,,,PMID21723580
,HM488144,8/17/04,mosquito,Culex restuans,Stratford,,Conneticut,,,,,PMID21723580
,HM488145,8/30/04,mosquito,Aedes vexans,Stratford,,Conneticut,,,,,PMID21723580
,HM488146,8/30/04,mosquito,Psorophora ferox,Stratford,,Conneticut,,,,,PMID21723580
,HM488147,9/13/04,mosquito,Culex salinarius,Stratford,,Conneticut,,,,,PMID21723580
,HM488148,10/4/04,mosquito,Culex pipiens,Stratford,,Conneticut,,,,,PMID21723580
,HM488149,8/1/05,mosquito,Ochlerotatus cantator,Stratford,,Conneticut,,,,,PMID21723580
,HM488150,9/6/05,mosquito,Culex pipiens,Stratford,,Conneticut,,,,,PMID21723580
,HM488151,9/6/05,mosquito,Culex pipiens,Stratford,,Conneticut,,,,,PMID21723580
,HM488152,8/16/05,mosquito,Aedes vexans,Stratford,,Conneticut,,,,,PMID21723580
,HM488153,8/16/05,mosquito,Culex pipiens male,Stratford,,Conneticut,,,,,PMID21723580
,HM488154,8/16/05,mosquito,Culex pipiens male,Stratford,,Conneticut,,,,,PMID21723580
,HM488155,8/31/06,mosquito,Culex restuans,Stratford,,Conneticut,,,,,PMID21723580
,HM488156,9/13/06,mosquito,Culex pipiens,Stratford,,Conneticut,,,,,PMID21723580
,HM488157,9/18/06,mosquito,Culex pipiens,Stratford,,Conneticut,,,,,PMID21723580
,HM488158,7/31/06,mosquito,Culex pipiens,Stratford,,Conneticut,,,,,PMID21723580
,HM488159,8/14/06,mosquito,Culex salinarius,Stratford,,Conneticut,,,,,PMID21723580
,HM488160,9/25/06,mosquito,Culex pipiens,Stratford,,Conneticut,,,,,PMID21723580
,HM488161,8/22/07,mosquito,Culex pipiens,Stratford,,Conneticut,,,,,PMID21723580
,HM488162,9/4/07,mosquito,Culex pipiens,Stratford,,Conneticut,,,,,PMID21723580
,HM488163,8/29/07,mosquito,Culex pipiens,Stratford,,Conneticut,,,,,PMID21723580
,HM488164,8/30/07,mosquito,Culex pipiens,Stratford,,Conneticut,,,,,PMID21723580
,HM488165,8/30/07,mosquito,Culex pipiens,Stratford,,Conneticut,,,,,PMID21723580
,HM488166,9/10/08,mosquito,Culex pipiens,Stratford,,Conneticut,,,,,PMID21723580
,HM488167,9/10/08,mosquito,Culex pipiens,Stratford,,Conneticut,,,,,PMID21723580
,HM488168,9/10/08,mosquito,Culex pipiens,Stratford,,Conneticut,,,,,PMID21723580
,HM488169,9/16/08,mosquito,Culex pipiens,Stratford,,Conneticut,,,,,PMID21723580
,HM488170,9/16/08,mosquito,Culex pipiens,Stratford,,Conneticut,,,,,PMID21723580
,HM488171,7/8/03,mosquito,Culex restuans,Redding,,Conneticut,,,,,PMID21723580
,HM488172,8/11/03,mosquito,Ochlerotatus sticticus,Fairfield,,Conneticut,,,,,PMID21723580
,HM488173,8/12/03,mosquito,Culex restuans,New Haven,,Conneticut,,,,,PMID21723580
,HM488174,8/12/03,mosquito,Culex salinarius,West Haven,,Conneticut,,,,,PMID21723580
,HM488175,8/19/03,mosquito,Culex restuans,Glastonbury,,Conneticut,,,,,PMID21723580
,HM488176,8/20/03,mosquito,Culex salinarius,West Haven,,Conneticut,,,,,PMID21723580
,HM488208,8/19/02,mosquito,Culex salinarius,Stratford,,Conneticut,,,,,PMID21723580
,HM488209,8/14/03,mosquito,Ochlerotatus sticticus,Monroe,,Conneticut,,,,,PMID21723580
,HM488210,8/18/03,mosquito,Culiseta melanura,Bethany,,Conneticut,,,,,PMID21723580
,HM488212,8/19/03,mosquito,Culex salinarius,New Haven,,Conneticut,,,,,PMID21723580
,HM488213,8/20/03,mosquito,Culex restuans,Darien,,Conneticut,,,,,PMID21723580
,HM488214,8/20/03,mosquito,Culex pipiens,Fairfield,,Conneticut,,,,,PMID21723580
,HM488215,8/20/03,mosquito,Culiseta melanura,Fairfield,,Conneticut,,,,,PMID21723580
,HM488216,8/20/03,mosquito,Culiseta melanura,Voluntown,,Conneticut,,,,,PMID21723580
,HM488217,8/21/03,mosquito,Culex salinarius,New Haven,,Conneticut,,,,,PMID21723580
,HM488218,8/25/03,mosquito,Culex pipiens,Danbury,,Conneticut,,,,,PMID21723580
,HM488219,8/25/03,mosquito,Culex pipiens,Southington,,Conneticut,,,,,PMID21723580
,HM488220,8/25/03,mosquito,Culex salinarius,West Haven,,Conneticut,,,,,PMID21723580
,HM488221,9/3/03,mosquito,Culiseta melanura,Ledyard,,Conneticut,,,,,PMID21723580
,HM488222,9/9/03,mosquito,Culiseta melanura,Stonington,,Conneticut,,,,,PMID21723580
,HM488223,9/11/03,mosquito,Culiseta melanura,Fairfield,,Conneticut,,,,,PMID21723580
,HM488224,9/11/03,mosquito,Culiseta melanura,Fairfield,,Conneticut,,,,,PMID21723580
,HM488225,9/15/03,mosquito,Aedes cinereus,New Haven,,Conneticut,,,,,PMID21723580
,HM488226,9/15/03,mosquito,Culex pipiens,New Haven,,Conneticut,,,,,PMID21723580
,HM488227,9/15/03,mosquito,Culex restuans,New Haven,,Conneticut,,,,,PMID21723580
,HM488228,9/15/03,mosquito,Culex salinarius,New Haven,,Conneticut,,,,,PMID21723580
,HM488229,9/15/03,mosquito,Psorophora ferox,New Haven,,Conneticut,,,,,PMID21723580
,HM488230,9/16/03,mosquito,Culex salinarius,Plainfield,,Conneticut,,,,,PMID21723580
,HM488231,9/17/03,mosquito,Culiseta melanura,Chester,,Conneticut,,,,,PMID21723580
,HM488232,9/17/03,mosquito,Culiseta melanura,Chester,,Conneticut,,,,,PMID21723580
,HM488233,9/17/03,mosquito,Aedes vexans,Meriden,,Conneticut,,,,,PMID21723580
,HM488234,9/17/03,mosquito,Culex salinarius,Meriden,,Conneticut,,,,,PMID21723580
,HM488235,9/24/03,mosquito,Culiseta melanura,Darien,,Conneticut,,,,,PMID21723580
,HM488236,10/15/03,mosquito,Culiseta melanura,Killingworth,,Conneticut,,,,,PMID21723580
,HM756648,9/24/02,mosquito,Ochlerotatus trivittatus,Stratford,,Conneticut,,,,,PMID21723580
,HM756649,9/5/06,mosquito,Culex pipiens,Stratford,,Conneticut,,,,,PMID21723580
,HM756650,8/21/03,mosquito,Culex salinarius,New Haven,,Conneticut,,,,,PMID21723580
,HM756651,8/25/03,mosquito,Ochlerotatus trivittatus,Norwalk,,Conneticut,,,,,PMID21723580
,HM756652,8/26/03,mosquito,Aedes cinereus,Killingworth,,Conneticut,,,,,PMID21723580
,HM756653,8/26/03,mosquito,Culex pipiens,Killingworth,,Conneticut,,,,,PMID21723580
,HM756654,9/9/03,mosquito,Culex salinarius,Greenwich,,Conneticut,,,,,PMID21723580
,HM756656,9/17/03,mosquito,Culiseta melanura,Ledyard,,Conneticut,,,,,PMID21723580
,HM756657,10/1/03,mosquito,Culex pipiens,Bridgeport,,Conneticut,,,,,PMID21723580
,HM756658,10/7/03,mosquito,Culiseta melanura,Stonington,,Conneticut,,,,,PMID21723580
,HM756659,10/8/03,mosquito,Culiseta melanura,Westbrook,,Conneticut,,,,,PMID21723580